Player,From / To,Date,Price
Noah Sadiki,Union SGSunderland,04-07-2025,€17M
Levi Laing,West HamAldershot Town,22-03-2025,Free
Jewison Bennette,SunderlandLNZ Cherkasy,09-03-2025,€0.5M
Mario Lemina,WolvesGalatasaray,05-02-2025,€2.5M
Stefanos Tzimas,NurnbergBrighton,03-02-2025,€26.5M
Nico González,PortoMan City,03-02-2025,€60M
Marshall Munetsi,ReimsWolves,03-02-2025,€18M
Eli Kroupi,LorientB'mouth,03-02-2025,€13M
Ruairi McConville,BrightonNorwich,03-02-2025,€3M
Jaydon Banel,AjaxBurnley,03-02-2025,€1M
Nasser Djiga,Crvena ZvezdaWolves,03-02-2025,€12M
Luca Furnell-Gill,LiverpoolTottenham,03-02-2025,Free
Mathis Amougou,Saint-EtienneChelsea,03-02-2025,€15M
Casper Nilsson,BrightonÄngelholms FF,03-02-2025,Free
Patrick Dorgu,LecceMan Utd,02-02-2025,€30M
Cesare Casadei,ChelseaTorino,02-02-2025,€13M
Wilson Isidor,ZenitSunderland,01-02-2025,€6M
Ayden Heaven,ArsenalMan Utd,01-02-2025,€1.8M
Jhon Durán,Aston VillaAl-Nassr,31-01-2025,€77M
Miguel Almirón,NewcastleAtlanta United,31-01-2025,€9.6M
Luke Cundle,WolvesMillwall,31-01-2025,€1.2M
Eiran Cashin,DerbyBrighton,31-01-2025,€10.8M
Christian McFarlane,New York CityMan City,27-01-2025,Free
Juma Bah,Real ValladolidMan City,27-01-2025,€6M
Tyler Roberts,WolvesAFC Fylde,24-01-2025,Free
Omar Marmoush,E. FrankfurtMan City,23-01-2025,€75M
Diego Carlos,Aston VillaFenerbahce,22-01-2025,€11.5M
Andrés García,LevanteAston Villa,21-01-2025,€7M
Vitor Reis,PalmeirasMan City,21-01-2025,€37M
Abdukodir Khusanov,LensMan City,20-01-2025,€40M
Jakub Moder,BrightonFeyenoord,20-01-2025,€1.5M
Romain Esse,MillwallC. Palace,18-01-2025,€14.2M
Owen Farmer,WolvesLeamington FC,17-01-2025,Free
Jaden Philogene,Aston VillaIpswich Town,15-01-2025,€23.7M
Donyell Malen,DortmundAston Villa,14-01-2025,€25M
Charlie Whitaker,EvertonNotts County,13-01-2025,Free
Emmanuel Agbadou,ReimsWolves,09-01-2025,€20M
Julio Soler,LanusB'mouth,07-01-2025,€8M
Marcelo Pitaluga,LiverpoolFluminense,06-01-2025,Free
Jonjo Shelvey,EyupsporBurnley,06-01-2025,Free
Antonín Kinský,Slavia PrahaTottenham,05-01-2025,€16.5M
Matai Akinmboni,DCB'mouth,03-01-2025,€1.5M
Ashley Barnes,NorwichBurnley,02-01-2025,Free
Oliver Sonne,SilkeborgBurnley,01-01-2025,€3M
Diego Gómez,Inter MiamiBrighton,01-01-2025,€13M
Giulio Marroni,C. PalaceOlbia,18-09-2024,Free
Kam Kandola,WolvesKidderminster Harriers,06-09-2024,Free
Ethan McLeod,WolvesRushall Olympic,06-09-2024,Free
Mason Rees,WolvesRushall Olympic,06-09-2024,Free
Coby Small,ArsenalB'mouth,06-09-2024,Free
Teodor Minchev,SwanseaB'mouth,06-09-2024,Free
Joel Thompson,NottinghamColchester,04-09-2024,Free
Vincent Angelini,BrentfordAl-Riyadh SC,02-09-2024,Free
Daniel Podence,WolvesAl Shabab,02-09-2024,€5M
Ângelo,ChelseaAl-Nassr,02-09-2024,€23M
Terence Kongolo,FulhamNAC Breda,02-09-2024,Free
Ahmed Abdullahi,GentSunderland,31-08-2024,€1.5M
Ivan Toney,BrentfordAl Ahli,31-08-2024,€42M
Sam Johnstone,C. PalaceWolves,30-08-2024,€11.9M
Morato,BenficaNottingham,30-08-2024,€11M
Oluwaseun Adewumi,FACBurnley,30-08-2024,€0.4M
Eddie Nketiah,ArsenalC. Palace,30-08-2024,€29.7M
Giovani Lo Celso,TottenhamReal Betis,30-08-2024,€5M
Manuel Ugarte,PSGMan Utd,30-08-2024,€50M
Luke McNally,BurnleyBristol City,30-08-2024,€1.8M
Scott McTominay,Man UtdNapoli,30-08-2024,€30.5M
Ibane Bowat,FulhamPortsmouth,30-08-2024,€0.6M
Ethan Sutherland,St. MirrenWolves,30-08-2024,€0.4M
Mahmoud Dahoud,BrightonE. Frankfurt,30-08-2024,Free
Billy Gilmour,BrightonNapoli,30-08-2024,€14M
Jay Stansfield,FulhamBirmingham City,30-08-2024,€17.8M
Jayden Meghoma,SouthamptonBrentford,30-08-2024,€5.9M
Charlie Casper,BurnleyFC United of Manchester,30-08-2024,Free
Isaac Schmidt,St. GallenLeeds United,30-08-2024,€3M
Maxence Lacroix,VfL WolfsburgC. Palace,30-08-2024,€18M
Ao Tanaka,DusseldorfLeeds United,30-08-2024,€4M
Milan Aleksic,RadnickiSunderland,30-08-2024,€3.5M
Josh Laurent,Stoke CityBurnley,30-08-2024,€1.2M
Aaron Ramsdale,ArsenalSouthampton,30-08-2024,€21.4M
Vitinho,BurnleyBotafogo,30-08-2024,€8M
André,FluminenseWolves,30-08-2024,€22M
Divin Mubama,West HamMan City,29-08-2024,€1.4M
Julien Vetro,BordeauxBurnley,29-08-2024,Free
Wout Weghorst,BurnleyAjax,29-08-2024,€2.4M
Tino Anjorin,ChelseaEmpoli,29-08-2024,Free
Bastien Meupiyou,NantesWolves,29-08-2024,€5M
Romelu Lukaku,ChelseaNapoli,29-08-2024,€30M
Federico Chiesa,JuventusLiverpool,29-08-2024,€12M
Gustavo Nunes,GremioBrentford,28-08-2024,€12M
Hannibal,Man UtdBurnley,28-08-2024,€6.4M
Aaron O'Reilly,Aston VillaHuddersfield,28-08-2024,Free
Angelo Ogbonna,West HamWatford,27-08-2024,Free
Mikel Merino,Real SociedadArsenal,27-08-2024,€32M
Ameen Al-Dakhil,BurnleyVfB Stuttgart,27-08-2024,€9M
João Cancelo,Man CityAl-Hilal,27-08-2024,€25M
Mike Penders,GenkChelsea,27-08-2024,€20M
Ferdi Kadıoğlu,FenerbahceBrighton,27-08-2024,€30M
Charlie Patiño,ArsenalDeportivo,26-08-2024,€1.2M
Loïc Mbe Soh,NottinghamBeerschot,26-08-2024,Free
Giorgi Mamardashvili,ValenciaLiverpool,26-08-2024,€30M
Matt O'Riley,CelticBrighton,26-08-2024,€29.5M
Dara O'Shea,BurnleyIpswich Town,25-08-2024,€14.2M
Jack Clarke,SunderlandIpswich Town,24-08-2024,€17.7M
David Carmo,PortoNottingham,24-08-2024,€11M
İlkay Gündoğan,BarcelonaMan City,23-08-2024,Free
Harvey Blair,LiverpoolPortsmouth,23-08-2024,€0.4M
Jordan Ayew,C. PalaceLeicester,23-08-2024,€5.9M
Joachim Andersen,C. PalaceFulham,23-08-2024,€29.5M
Will Fish,Man UtdCardiff City,23-08-2024,€1.2M
Joe Worrall,NottinghamBurnley,22-08-2024,€5.9M
Largie Ramazani,AlmeriaLeeds United,22-08-2024,€7.7M
Anass Zaroury,BurnleyLens,22-08-2024,€5M
Sander Berge,BurnleyFulham,22-08-2024,€23.6M
Sepp van den Berg,LiverpoolBrentford,22-08-2024,€23.6M
Bobby Clark,LiverpoolRB Salzburg,22-08-2024,€11.8M
Facundo Pellistri,Man UtdPanathinaikos,21-08-2024,€6M
João Félix,Atlético MadridChelsea,21-08-2024,€52M
Conor Gallagher,ChelseaAtlético Madrid,21-08-2024,€42M
Kane Taylor,Man CityAston Villa,20-08-2024,€0.9M
Oliver Skipp,TottenhamLeicester,19-08-2024,€23.5M
Georginio Rutter,Leeds UnitedBrighton,19-08-2024,€46.7M
Jayden Barber,Aston VillaMerstham FC,16-08-2024,Free
Wilson Odobert,BurnleyTottenham,16-08-2024,€29.3M
Mason Burstow,ChelseaHull City,16-08-2024,€2.4M
Ramón Sosa,TalleresNottingham,16-08-2024,€12M
Evanilson,PortoB'mouth,16-08-2024,€37M
Diego Manuel Jadon da Silva Moreira,ChelseaStrasbourg,16-08-2024,€8.5M
Cameron Archer,Aston VillaSouthampton,16-08-2024,€17.6M
Scott Twine,BurnleyBristol City,16-08-2024,€3.8M
Zanka,BrentfordAnderlecht,15-08-2024,Free
João Mendes,BarcelonaBurnley,14-08-2024,Free
Brajan Gruda,Mainz 05Brighton,14-08-2024,€31.5M
Brooke Norton-Cuffy,ArsenalGenoa,14-08-2024,€2M
Matthijs de Ligt,Bayern MunichMan Utd,13-08-2024,€45M
Noussair Mazraoui,Bayern MunichMan Utd,13-08-2024,€15M
Aaron Wan-Bissaka,Man UtdWest Ham,13-08-2024,€17.6M
Jaïro Riedewald,C. PalaceAntwerp,13-08-2024,Free
Julián Araujo,BarcelonaB'mouth,13-08-2024,€10M
Emerson Royal,TottenhamMilan,12-08-2024,€15M
Fábio Carvalho,LiverpoolBrentford,12-08-2024,€23.4M
Julián Alvarez,Man CityAtlético Madrid,12-08-2024,€75M
Ben Knight,Man CityReal Murcia CF,12-08-2024,Free
Pedro Neto,WolvesChelsea,11-08-2024,€60M
Dominic Solanke,B'mouthTottenham,10-08-2024,€64.3M
Ma'kel Campbell,FulhamPeterborough,09-08-2024,Free
Henry Fieldson,SunderlandQueen's,09-08-2024,Free
Micah Hamilton,Man CityMiddlesbrough,09-08-2024,€4.1M
Ferdinand Okoh,B'mouthWingate & Finchley FC,09-08-2024,Free
Deniz Undav,BrightonVfB Stuttgart,09-08-2024,€26.7M
Samuel Bastien,BurnleyFortuna Sittard,08-08-2024,€0.3M
William Osula,Sheff UtdNewcastle,08-08-2024,€11.6M
Aarón Anselmino,Boca JuniorsChelsea,08-08-2024,€16.5M
Kieron Bowie,FulhamHibernian,08-08-2024,€0.7M
Scott McKenna,NottinghamUD Las Palmas,08-08-2024,Free
Baylin Johnson,B'mouthCardiff City,07-08-2024,Free
Dani van den Heuvel,Leeds UnitedBrugge,07-08-2024,Free
Tim Ream,FulhamCharlotte,07-08-2024,Free
Matt Ritchie,NewcastlePortsmouth,06-08-2024,Free
Mateusz Musialowski,LiverpoolOmonia,05-08-2024,Free
Niclas Füllkrug,DortmundWest Ham,05-08-2024,€27M
