Squad,Age,Age,Age,MP,MP,MP,Starts,Starts,Starts,Min,Min,Min,90s,90s,90s,Gls,Gls,Gls,Ast,Ast,Ast,G+A,G+A,G+A,G-PK,G-PK,G-PK,PK,PK,PK,PKatt,PKatt,PKatt,CrdY,CrdY,CrdY,CrdR,CrdR,CrdR,xG,xG,xG,npxG,npxG,npxG,xAG,xAG,xAG,npxG+xAG,npxG+xAG,npxG+xAG,PrgC,PrgC,PrgC,PrgP,PrgP,PrgP,PrgR,PrgR,PrgR,Gls.Per90Min,Gls.Per90Min,Gls.Per90Min,Ast.Per90Min,Ast.Per90Min,Ast.Per90Min,G+A.Per90Min,G+A.Per90Min,G+A.Per90Min,G-PK.Per90Min,G-PK.Per90Min,G-PK.Per90Min,G+A-PK,G+A-PK,G+A-PK,xG.Per90Min,xG.Per90Min,xG.Per90Min,xAG.Per90Min,xAG.Per90Min,xAG.Per90Min,xG+xAG,xG+xAG,xG+xAG,npxG.Per90Min,npxG.Per90Min,npxG.Per90Min,npxG+xAG.Per90Min,npxG+xAG.Per90Min,npxG+xAG.Per90Min
,mean,median,std,mean,median,std,mean,median,std,mean,median,std,mean,median,std,mean,median,std,mean,median,std,mean,median,std,mean,median,std,mean,median,std,mean,median,std,mean,median,std,mean,median,std,mean,median,std,mean,median,std,mean,median,std,mean,median,std,mean,median,std,mean,median,std,mean,median,std,mean,median,std,mean,median,std,mean,median,std,mean,median,std,mean,median,std,mean,median,std,mean,median,std,mean,median,std,mean,median,std,mean,median,std
Arsenal,25.27,25.5,3.82,25.32,25.5,8.2,19.0,18.5,10.77,1698.91,1657.5,941.38,18.88,18.4,10.46,3.05,2.5,2.9,2.5,2.0,2.94,5.55,3.5,5.13,2.95,2.0,2.87,0.09,0.0,0.29,0.09,0.0,0.29,3.18,3.5,1.92,0.27,0.0,0.55,2.82,1.85,2.86,2.75,1.85,2.79,2.12,1.05,2.36,4.86,2.75,4.75,38.73,25.0,35.59,82.95,60.0,65.22,81.86,52.5,83.65,0.17,0.12,0.16,0.13,0.11,0.14,0.31,0.31,0.22,0.17,0.12,0.16,0.3,0.31,0.22,0.16,0.11,0.14,0.12,0.1,0.12,0.28,0.19,0.22,0.15,0.11,0.14,0.28,0.19,0.22
Aston Villa,25.82,26.0,4.03,21.0,22.0,11.24,14.93,11.0,12.56,1339.39,1129.5,1020.81,14.88,12.55,11.34,2.0,1.0,3.42,1.61,0.0,2.7,3.61,2.5,5.56,1.89,1.0,3.13,0.11,0.0,0.42,0.21,0.0,0.57,2.71,2.0,2.4,0.14,0.0,0.36,2.06,0.85,3.08,1.88,0.85,2.79,1.5,0.55,2.08,3.38,2.05,4.17,25.71,22.0,24.89,48.0,35.5,50.32,47.54,22.5,55.69,0.16,0.04,0.27,0.08,0.0,0.11,0.24,0.12,0.32,0.15,0.04,0.26,0.24,0.12,0.3,0.19,0.08,0.23,0.09,0.05,0.1,0.28,0.2,0.28,0.17,0.07,0.21,0.26,0.2,0.25
Bournemouth,25.04,25.0,4.05,23.67,28.5,10.98,17.38,19.5,12.87,1558.25,1764.5,1112.1,17.31,19.6,12.36,2.38,1.0,3.7,1.71,1.0,2.01,4.08,2.0,5.23,2.12,1.0,3.19,0.25,0.0,1.22,0.29,0.0,1.23,4.04,3.0,3.21,0.12,0.0,0.34,2.72,1.1,3.7,2.49,1.1,3.3,1.84,1.05,1.9,4.34,2.6,4.75,31.29,17.0,36.64,61.71,46.0,56.49,61.12,27.5,77.59,0.16,0.04,0.21,0.09,0.06,0.11,0.25,0.19,0.27,0.15,0.04,0.2,0.24,0.19,0.26,0.2,0.08,0.23,0.13,0.1,0.15,0.33,0.17,0.32,0.19,0.08,0.22,0.32,0.17,0.31
Brentford,25.09,24.0,3.83,24.55,27.5,12.67,19.0,19.0,14.66,1702.36,1681.5,1238.94,18.91,18.7,13.76,2.95,0.0,5.91,2.0,1.5,2.56,4.95,2.0,7.54,2.73,0.0,5.28,0.23,0.0,1.07,0.27,0.0,1.28,2.82,2.0,2.3,0.05,0.0,0.21,2.75,0.9,4.63,2.53,0.9,4.26,1.95,1.2,2.34,4.49,2.55,5.63,27.09,13.0,35.33,61.41,53.5,59.98,60.73,27.5,84.38,0.11,0.0,0.19,0.09,0.08,0.09,0.19,0.12,0.24,0.1,0.0,0.18,0.19,0.12,0.22,0.12,0.06,0.16,0.09,0.08,0.08,0.21,0.16,0.2,0.11,0.06,0.15,0.21,0.16,0.19
Brighton,24.75,23.0,5.13,21.21,23.0,10.83,14.93,11.5,10.72,1339.64,1056.0,946.35,14.89,11.75,10.51,2.29,1.0,3.17,1.46,1.0,1.71,3.75,2.0,4.69,2.04,1.0,2.76,0.25,0.0,0.97,0.25,0.0,0.97,2.79,2.0,2.63,0.11,0.0,0.31,2.12,0.95,2.81,1.93,0.95,2.45,1.44,1.05,1.47,3.36,2.0,3.64,29.07,20.5,32.51,54.61,47.5,52.6,54.14,28.0,68.04,0.14,0.1,0.15,0.09,0.03,0.12,0.23,0.16,0.23,0.12,0.1,0.13,0.22,0.16,0.21,0.14,0.1,0.12,0.1,0.08,0.08,0.24,0.21,0.18,0.13,0.1,0.1,0.23,0.21,0.16
Chelsea,23.0,23.0,2.3,21.27,20.5,12.34,16.08,13.0,12.9,1441.62,1117.5,1125.15,16.02,12.4,12.51,2.35,1.0,3.67,1.81,1.0,2.3,4.15,2.0,5.74,2.19,1.0,3.16,0.15,0.0,0.78,0.19,0.0,0.98,3.88,2.5,3.41,0.08,0.0,0.27,2.67,0.8,4.28,2.51,0.8,3.77,2.06,1.05,2.66,4.57,1.65,6.14,33.12,11.5,44.21,61.31,34.5,67.47,60.5,12.0,81.72,0.13,0.06,0.15,0.12,0.07,0.13,0.24,0.15,0.26,0.12,0.06,0.15,0.24,0.15,0.25,0.15,0.08,0.17,0.14,0.08,0.15,0.29,0.15,0.27,0.15,0.08,0.17,0.29,0.15,0.26
Crystal Palace,25.68,26.0,3.39,25.14,31.0,12.06,18.86,19.0,14.12,1690.86,1743.0,1183.09,18.79,19.4,13.15,2.18,1.0,3.57,1.73,1.0,2.29,3.91,2.0,5.14,2.05,1.0,3.18,0.14,0.0,0.47,0.18,0.0,0.59,3.5,2.0,3.45,0.18,0.0,0.39,2.76,1.1,3.92,2.61,1.1,3.57,2.13,1.3,2.45,4.74,2.85,5.53,22.73,12.0,24.64,51.95,45.5,41.88,51.45,13.5,68.01,0.14,0.04,0.18,0.1,0.05,0.15,0.23,0.15,0.3,0.13,0.04,0.18,0.23,0.15,0.3,0.15,0.09,0.15,0.12,0.11,0.09,0.27,0.22,0.2,0.15,0.09,0.14,0.26,0.22,0.19
Everton,26.73,25.5,5.0,24.5,25.5,9.74,18.95,17.0,11.21,1700.23,1582.5,960.54,18.9,17.6,10.66,1.77,1.0,2.51,1.23,1.0,1.48,3.0,2.0,2.86,1.68,1.0,2.25,0.09,0.0,0.43,0.09,0.0,0.43,3.64,4.0,2.36,0.09,0.0,0.29,1.92,1.1,2.34,1.85,1.1,2.23,1.49,1.3,1.32,3.35,2.7,2.75,22.05,15.0,22.24,47.23,46.0,37.56,46.18,26.5,43.52,0.1,0.04,0.13,0.08,0.05,0.11,0.18,0.1,0.19,0.1,0.04,0.13,0.18,0.1,0.18,0.11,0.04,0.13,0.08,0.07,0.08,0.2,0.13,0.15,0.11,0.04,0.12,0.19,0.13,0.15
Fulham,27.09,27.0,3.9,25.7,29.0,10.38,18.17,18.0,12.6,1632.35,1772.0,1057.45,18.13,19.7,11.75,2.3,0.0,3.5,1.91,1.0,2.63,4.22,2.0,4.88,2.17,0.0,3.16,0.13,0.0,0.63,0.17,0.0,0.65,3.48,3.0,3.09,0.09,0.0,0.29,2.17,1.0,2.79,2.03,1.0,2.4,1.63,1.0,1.89,3.67,2.1,3.73,34.04,22.0,38.03,67.61,62.0,52.92,66.74,33.0,75.77,0.15,0.0,0.22,0.09,0.08,0.11,0.25,0.1,0.28,0.15,0.0,0.22,0.24,0.1,0.28,0.15,0.11,0.14,0.11,0.09,0.09,0.25,0.26,0.19,0.14,0.11,0.14,0.25,0.26,0.18
Ipswich Town,25.53,25.5,3.1,19.77,18.5,9.98,13.93,12.0,10.43,1245.77,1081.0,868.09,13.84,12.0,9.65,1.17,0.0,2.32,0.87,0.5,1.07,2.03,1.5,2.76,1.1,0.0,2.01,0.07,0.0,0.37,0.07,0.0,0.37,3.1,2.0,2.84,0.17,0.0,0.38,1.17,0.7,1.78,1.12,0.7,1.55,0.81,0.4,1.12,1.93,1.6,2.2,17.1,10.5,21.63,31.1,23.0,29.77,30.63,15.0,40.14,0.09,0.0,0.14,0.06,0.02,0.09,0.15,0.1,0.17,0.08,0.0,0.13,0.15,0.1,0.16,0.09,0.04,0.11,0.06,0.04,0.06,0.15,0.11,0.13,0.09,0.04,0.11,0.15,0.11,0.13
Leicester City,25.56,25.0,4.8,21.3,23.0,10.38,15.48,14.0,10.75,1391.22,1391.0,890.91,15.46,15.5,9.9,1.22,0.0,2.15,0.93,0.0,1.38,2.15,1.0,3.01,1.15,0.0,1.96,0.07,0.0,0.27,0.11,0.0,0.42,3.22,3.0,2.71,0.0,0.0,0.0,1.22,0.4,2.23,1.13,0.4,1.93,0.93,0.4,1.19,2.06,1.3,2.79,21.33,14.0,23.22,40.04,32.0,36.88,39.56,19.0,42.34,0.06,0.0,0.1,0.06,0.0,0.08,0.12,0.05,0.14,0.06,0.0,0.09,0.12,0.05,0.14,0.07,0.05,0.08,0.06,0.03,0.08,0.13,0.07,0.13,0.07,0.05,0.07,0.13,0.07,0.12
Liverpool,26.05,25.0,3.61,26.41,30.5,10.38,19.0,21.0,12.93,1704.45,1823.5,1070.01,18.95,20.25,11.9,3.86,1.0,6.66,2.95,2.0,3.92,6.82,3.5,10.36,3.45,1.0,5.15,0.41,0.0,1.92,0.41,0.0,1.92,3.05,2.5,2.4,0.14,0.0,0.35,3.82,1.75,5.78,3.5,1.75,4.62,2.83,1.35,3.42,6.35,3.6,7.58,37.55,27.5,38.91,87.45,64.0,73.06,86.82,49.0,120.72,0.16,0.06,0.22,0.14,0.14,0.14,0.3,0.18,0.33,0.15,0.06,0.19,0.29,0.18,0.3,0.19,0.08,0.21,0.14,0.15,0.11,0.33,0.26,0.28,0.19,0.08,0.19,0.32,0.26,0.26
Manchester City,25.76,25.0,4.93,21.6,26.0,9.86,16.68,19.0,9.61,1498.6,1674.0,853.58,16.65,18.6,9.48,2.84,1.0,4.59,2.04,0.0,2.67,4.88,3.0,5.56,2.72,1.0,4.08,0.12,0.0,0.6,0.16,0.0,0.8,2.36,2.0,1.78,0.08,0.0,0.28,2.79,1.4,4.42,2.65,1.4,3.84,2.2,1.5,2.38,4.84,3.0,5.29,45.76,39.0,49.59,77.48,64.0,67.19,76.68,32.0,84.77,0.18,0.12,0.22,0.1,0.0,0.14,0.28,0.27,0.25,0.17,0.12,0.21,0.27,0.27,0.24,0.16,0.08,0.2,0.12,0.06,0.12,0.28,0.23,0.27,0.16,0.08,0.19,0.27,0.23,0.26
Manchester Utd,24.23,24.0,5.12,19.23,20.5,11.81,13.93,12.0,11.08,1248.67,1113.0,956.92,13.87,12.35,10.63,1.4,0.0,2.34,0.97,0.0,2.14,2.37,0.5,4.22,1.27,0.0,2.12,0.13,0.0,0.57,0.13,0.0,0.57,2.87,2.5,2.64,0.1,0.0,0.4,1.78,0.85,2.4,1.68,0.7,2.17,1.33,0.65,1.88,3.01,2.15,3.83,23.23,11.0,33.48,48.23,33.5,62.42,47.7,16.0,69.25,0.07,0.0,0.11,0.04,0.0,0.08,0.11,0.02,0.18,0.07,0.0,0.11,0.11,0.02,0.17,0.13,0.07,0.16,0.08,0.06,0.08,0.21,0.12,0.2,0.13,0.07,0.16,0.21,0.12,0.19
Newcastle Utd,26.57,26.0,4.78,25.17,28.0,10.7,18.17,17.0,13.56,1632.0,1755.0,1131.25,18.13,19.5,12.56,2.87,0.0,5.21,2.17,1.0,2.96,5.04,2.0,7.4,2.65,0.0,4.5,0.22,0.0,0.85,0.26,0.0,0.92,2.96,2.0,3.31,0.04,0.0,0.21,2.83,0.5,4.53,2.63,0.5,3.92,2.02,0.9,2.4,4.66,2.8,5.66,33.0,18.0,36.74,69.35,75.0,67.74,68.78,22.0,77.43,0.14,0.0,0.22,0.1,0.03,0.12,0.24,0.17,0.28,0.14,0.0,0.2,0.23,0.17,0.26,0.14,0.12,0.15,0.1,0.1,0.09,0.24,0.21,0.21,0.14,0.12,0.13,0.24,0.21,0.19
Nott'ham Forest,25.95,26.0,3.55,26.5,32.5,11.92,19.0,20.5,14.44,1707.68,1939.0,1204.84,18.98,21.55,13.38,2.59,1.0,4.45,1.91,1.0,2.88,4.5,1.5,6.25,2.45,1.0,3.9,0.14,0.0,0.64,0.14,0.0,0.64,4.09,3.5,3.46,0.09,0.0,0.29,2.12,1.45,3.02,2.01,1.45,2.61,1.54,1.2,1.58,3.54,2.4,3.79,28.73,15.0,36.71,51.14,38.0,48.07,50.73,18.5,65.39,0.12,0.06,0.15,0.09,0.05,0.11,0.2,0.15,0.2,0.11,0.06,0.14,0.2,0.15,0.19,0.11,0.07,0.13,0.08,0.06,0.08,0.19,0.14,0.17,0.11,0.07,0.13,0.19,0.14,0.17
Southampton,25.57,25.5,4.42,19.6,19.5,11.11,13.9,13.0,10.48,1244.57,1161.5,907.77,13.83,12.9,10.08,0.83,0.5,1.05,0.53,0.0,0.94,1.37,1.0,1.54,0.83,0.5,1.05,0.0,0.0,0.0,0.07,0.0,0.25,2.87,2.0,3.17,0.1,0.0,0.4,1.1,0.6,1.45,1.04,0.6,1.32,0.83,0.6,0.93,1.88,1.15,1.85,20.93,11.0,27.15,37.2,22.5,41.35,36.2,19.5,39.16,0.05,0.02,0.08,0.04,0.0,0.1,0.1,0.06,0.13,0.05,0.02,0.08,0.1,0.06,0.13,0.08,0.04,0.1,0.07,0.04,0.09,0.15,0.11,0.12,0.08,0.04,0.09,0.14,0.11,0.12
Tottenham,24.37,24.0,4.61,21.04,24.0,9.3,15.44,16.0,8.17,1387.78,1408.0,687.98,15.42,15.6,7.64,2.26,1.0,3.32,1.7,1.0,2.38,3.96,2.0,5.21,2.15,1.0,3.21,0.11,0.0,0.32,0.15,0.0,0.46,2.67,2.0,2.51,0.04,0.0,0.19,2.22,0.7,3.08,2.1,0.7,2.9,1.67,0.9,2.08,3.77,1.8,4.42,31.07,28.0,29.98,58.96,49.0,47.74,58.52,34.0,70.17,0.13,0.05,0.18,0.11,0.07,0.14,0.23,0.13,0.27,0.12,0.05,0.18,0.23,0.13,0.26,0.14,0.05,0.17,0.1,0.08,0.11,0.24,0.13,0.24,0.13,0.05,0.16,0.23,0.13,0.23
